Date,Source,Number of Patients
0,HHC_MILLENNIUM,3063
0,Allscripts,1295
0,ENSEMBLE,1220
0,ECLINICAL,1078
0,STRESS-CFAM,1021
0,eGate,881
0,UHT,751
1030121,ROE,502
0,BARC_2,426
0,APEX,355
0,ATLAS,212
0,MMC,150
0,NWH,148
0,ALLIED_PEDS,133
0,LETSGETCHECKED,132
0,OUTREACH,94
0,PROHEALTH,89
0,WHA,79
0,DOH,78
0,MATHER,61
0,PracticeFusion,37
0,SJEH_REF,34
117003,Cerner Registration,32
0,EMDEON,32
0,PECONIC,28
0,ACP,22
0,FERT,20
0,APRIMA,18
0,PBMC_OUTREACH,16
0,LABSOFT,11
0,South Oaks / Broadlawn Meditech,9
0,PROEHR,7
0,MMCSCM,7
0,MEDGEN,5
0,Kaleida,4
0,MEDICAT,4
0,STMARY,2
0,Niagara_Falls,2
